IDATid,Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID,SNPid,SAMPLE_ID,INVENTORY_SAMPLE_NAME,SampleType,Plate,GreenIDAT,RedIDAT
6317391089_R01C01,Unk417,6317391089,R01C01,_ega-box-147_6317391089_R01C01,WG0118056.DNAA06,637052,COLO-704,CellLine,WG0118056,6317391089_R01C01_Grn.idat,6317391089_R01C01_Red.idat
6317391089_R02C01,Unk418,6317391089,R02C01,_ega-box-147_6317391089_R02C01,WG0118056.DNAC06,637054,NIH:OVCAR-3,CellLine,WG0118056,6317391089_R02C01_Grn.idat,6317391089_R02C01_Red.idat
6317391089_R03C01,Unk419,6317391089,R03C01,_ega-box-147_6317391089_R03C01,WG0118056.DNAB06,637053,IGROV-1 (IVCC),CellLine,WG0118056,6317391089_R03C01_Grn.idat,6317391089_R03C01_Red.idat
6317391089_R04C01,Unk420,6317391089,R04C01,_ega-box-147_6317391089_R04C01,WG0118056.DNAD06,637055,OV7,CellLine,WG0118056,6317391089_R04C01_Grn.idat,6317391089_R04C01_Red.idat
6317404002_R01C01,Unk421,6317404002,R01C01,_ega-box-147_6317404002_R01C01,WG0118060.DNAE09,636412,C-33 A,CellLine,WG0118060,6317404002_R01C01_Grn.idat,6317404002_R01C01_Red.idat
6317404002_R02C01,Unk422,6317404002,R02C01,_ega-box-147_6317404002_R02C01,WG0118060.DNAG09,636414,DMS 79,CellLine,WG0118060,6317404002_R02C01_Grn.idat,6317404002_R02C01_Red.idat
6317404002_R03C01,Unk423,6317404002,R03C01,_ega-box-147_6317404002_R03C01,WG0118060.DNAF09,636413,COR-L279,CellLine,WG0118060,6317404002_R03C01_Grn.idat,6317404002_R03C01_Red.idat
6317404002_R04C01,Unk424,6317404002,R04C01,_ega-box-147_6317404002_R04C01,WG0118060.DNAH09,636415,HCC1359,CellLine,WG0118060,6317404002_R04C01_Grn.idat,6317404002_R04C01_Red.idat
6317404003_R01C01,Unk425,6317404003,R01C01,_ega-box-147_6317404003_R01C01,WG0118064.DNAE11,636399,COV504,CellLine,WG0118064,6317404003_R01C01_Grn.idat,6317404003_R01C01_Red.idat
6317404003_R03C01,Unk426,6317404003,R03C01,_ega-box-147_6317404003_R03C01,WG0118064.DNAF11,636400,HCC630,CellLine,WG0118064,6317404003_R03C01_Grn.idat,6317404003_R03C01_Red.idat
6317404003_R04C01,Unk427,6317404003,R04C01,_ega-box-147_6317404003_R04C01,WG0118064.DNAH11,636402,LNCAP clone FGC,CellLine,WG0118064,6317404003_R04C01_Grn.idat,6317404003_R04C01_Red.idat
6317404005_R01C01,Unk428,6317404005,R01C01,_ega-box-147_6317404005_R01C01,WG0118064.DNAE05,636351,SNU-387,CellLine,WG0118064,6317404005_R01C01_Grn.idat,6317404005_R01C01_Red.idat
6317404005_R02C01,Unk429,6317404005,R02C01,_ega-box-147_6317404005_R02C01,WG0118064.DNAG05,636353,SNU-449,CellLine,WG0118064,6317404005_R02C01_Grn.idat,6317404005_R02C01_Red.idat
6317404005_R03C01,Unk430,6317404005,R03C01,_ega-box-147_6317404005_R03C01,WG0118064.DNAF05,636352,SNU-398,CellLine,WG0118064,6317404005_R03C01_Grn.idat,6317404005_R03C01_Red.idat
6317404005_R04C01,Unk431,6317404005,R04C01,_ega-box-147_6317404005_R04C01,WG0118064.DNAH05,636354,SNU-475,CellLine,WG0118064,6317404005_R04C01_Grn.idat,6317404005_R04C01_Red.idat
6317404006_R01C01,Unk432,6317404006,r01c01,_ega-box-147_6317404006_r01c01,WG0118061.DNAA07,636269,QGP-1,CellLine,WG0118061,6317404006_r01c01_grn.idat,6317404006_r01c01_red.idat
6317404006_R02C01,Unk433,6317404006,r02c01,_ega-box-147_6317404006_r02c01,WG0118061.DNAC07,636271,TCC-PAN2,CellLine,WG0118061,6317404006_r02c01_grn.idat,6317404006_r02c01_red.idat
6317404006_R03C01,Unk434,6317404006,r03c01,_ega-box-147_6317404006_r03c01,WG0118061.DNAB07,636270,SUIT-2,CellLine,WG0118061,6317404006_r03c01_grn.idat,6317404006_r03c01_red.idat
6317404006_R04C01,Unk435,6317404006,r04c01,_ega-box-147_6317404006_r04c01,WG0118061.DNAD07,636272,YAPC,CellLine,WG0118061,6317404006_r04c01_grn.idat,6317404006_r04c01_red.idat
